x,y,z,plane,x_um,y_um,z_um
2686,2738,1,2,2696.744,2748.952,6.0
3801,2738,1,2,3816.204,2748.952,6.0
3398,2742,1,2,3411.592,2752.968,6.0
3632,2748,2,3,3646.528,2758.992,12.0
3883,2746,1,2,3898.532,2756.984,6.0
3541,2747,2,3,3555.164,2757.988,12.0
3787,2743,2,3,3802.148,2753.972,12.0
3555,2747,1,2,3569.22,2757.988,6.0
3672,2749,1,2,3686.688,2759.996,6.0
3877,2749,1,2,3892.508,2759.996,6.0
3793,2750,1,2,3808.172,2761.0,6.0
3504,2752,2,3,3518.016,2763.008,12.0
3804,2761,1,2,3819.216,2772.044,6.0
3610,2763,2,3,3624.44,2774.052,12.0
3571,2759,2,3,3585.284,2770.036,12.0
3554,2763,3,4,3568.216,2774.052,18.0
3567,2777,2,3,3581.268,2788.108,12.0
3707,2768,3,4,3721.828,2779.072,18.0
3778,2767,2,3,3793.112,2778.068,12.0
3770,2787,3,4,3785.08,2798.148,18.0
3681,2779,1,2,3695.724,2790.116,6.0
3600,2780,1,2,3614.4,2791.12,6.0
3718,2785,2,3,3732.872,2796.14,12.0
3531,2788,2,3,3545.124,2799.152,12.0
3646,2792,2,3,3660.584,2803.168,12.0
3656,2795,1,2,3670.624,2806.18,6.0
3551,2797,1,2,3565.204,2808.188,6.0
3638,2797,1,2,3652.552,2808.188,6.0
3693,2803,2,3,3707.772,2814.212,12.0
3665,2804,2,3,3679.66,2815.216,12.0
3514,2800,1,2,3528.056,2811.2,6.0
3640,2806,3,4,3654.56,2817.224,18.0
3709,2816,2,3,3723.8360000000002,2827.264,12.0
3536,2814,1,2,3550.1440000000002,2825.256,6.0
3498,2823,3,4,3511.992,2834.292,18.0
3636,2821,1,2,3650.544,2832.284,6.0
3661,2832,2,3,3675.6440000000002,2843.328,12.0
3710,2832,1,2,3724.84,2843.328,6.0
3609,2832,1,2,3623.436,2843.328,6.0
3684,2833,1,2,3698.736,2844.332,6.0
3479,2833,1,2,3492.916,2844.332,6.0
3623,2837,2,3,3637.492,2848.348,12.0
3461,2841,3,4,3474.844,2852.364,18.0
3644,2843,4,5,3658.576,2854.372,24.0
3425,2854,3,4,3438.7,2865.416,18.0
3476,2846,1,2,3489.904,2857.384,6.0
3589,2850,2,3,3603.356,2861.4,12.0
3556,2851,2,3,3570.224,2862.404,12.0
3531,2858,1,2,3545.124,2869.432,6.0
3522,2880,2,3,3536.088,2891.52,12.0
3442,2863,1,2,3455.768,2874.452,6.0
3587,2869,1,2,3601.348,2880.476,6.0
3395,2887,3,4,3408.58,2898.5480000000002,18.0
3372,2888,1,2,3385.488,2899.552,6.0
3540,2888,1,2,3554.16,2899.552,6.0
3705,2901,1,2,3719.82,2912.604,6.0
3428,2913,3,4,3441.712,2924.652,18.0
3579,2903,3,4,3593.316,2914.612,18.0
3357,2919,2,3,3370.428,2930.676,12.0
3570,2911,1,2,3584.28,2922.6440000000002,6.0
3312,2911,2,3,3325.248,2922.6440000000002,12.0
3466,2913,1,2,3479.864,2924.652,6.0
3556,2915,2,3,3570.224,2926.66,12.0
3306,2938,3,4,3319.224,2949.752,18.0
3446,2921,1,2,3459.784,2932.684,6.0
3456,2922,1,2,3469.824,2933.688,6.0
3401,2932,2,3,3414.604,2943.728,12.0
3551,2932,1,2,3565.204,2943.728,6.0
